Hashtag,Number of times brand tweeted the hashtag,Number of times other people tweeted the hashtag
#madeintoronto*,0,1
#bodyhair*,0,3
#smallyoutuber*,0,1
#latherup*,0,1
#rapejihad*,0,1
#dovechocolate*,0,1
#crueltyfreecosmetics*,0,1
#foothealth*,0,1
#worldkindnessday*,1,1
#antibullyingweek*,0,3
#beyourbeautifulself*,0,1
#leavenoonebehind*,0,3
#petakills*,0,15
#peppermintbark*,0,2
#advertisingtips*,0,1
#nykaa*,0,3
#meghanmarkle*,0,3
#butitcouldbe*,0,1
#mombrain*,0,1
#doveshampoo*,0,1
#mariobadescu*,0,1
#likeagirl*,0,3
#affordableskincare*,0,1
#subconcious*,0,1
#takeaknee*,0,1
#mumlife*,0,1
#disabilityinclusion*,0,3
#sharenting*,0,1
#doveawards*,0,1
#savetheorangutan*,0,1
#globalbranding*,0,2
#wearegirlstx*,0,1
#allyouneedisdove*,0,2
#batchelors*,0,1
#carex*,0,1
#doveconditioner,0,1
#glowup*,0,1
#transisbeautiful*,0,1
#tamkeen*,0,5
#dirtypalmoil*,0,9
#belezareal*,0,6
#homeadvisor*,0,1
#fairandlovely*,0,1
#chooserespect*,0,3
#advertisingphotography*,0,1
#confidentgirl*,0,1
#smcbahrain*,0,5
#dovebodywash*,0,1
#doveph*,0,5
#dove100colours*,0,2
#rubybox*,0,18
#animallivesmatter*,0,1
#prayersforcalifornia*,0,1
#cosrx*,0,1
#parisagreement*,0,1
#doveselfesteemproject*,0,257
#diversebeauty*,0,1
#naitpr*,0,1
#smallyoutubersunite*,0,3
#grlive*,0,1
#realafrican*,0,2
#nailsonfleek*,0,1
#skincaretutorial*,0,1
#somoscomotu*,0,1
#speakbeautiful*,0,4
#dovepartner*,0,161
#redefinepretty*,0,2
#dovesa*,0,3
#skincarevideo*,0,1
#vraiebeaute*,0,3
#mybabydove*,0,489
#dryshampooday*,8,63
#selfesteemproject*,0,3
#confidencetalks,0,2
#dove1minute,0,3
#communityenhancement*,0,1
#inspire18*,0,1
#shotonmobile*,0,6
#caremakesaman*,0,1
#drugstoreskincare*,0,1
#nofreeads*,0,1
#advertising_agency*,0,1
#trumprussia*,0,1
#womengettold,0,1
#letsbreaktherulesofbeauty*,0,27
#hairgoalz*,0,1
#moijeune*,0,3
#womensderm*,0,2
#mktg350*,0,1
#gewbahrain*,0,5
#maymayentrata*,0,34
#smallyoutubecommunity*,0,1
#mymagazinesharing*,0,1
